Structure 1
1.05 210.736 2.63752393620641
1.00 197.959 3.82471966346152
0.975 191.464 4.67498471357676
0.95 185.276 5.70445701570432
Structure 17
1.2 252.319 0.99976248409944
1.15 237.034 1.36997269129771
1.10 223.451 1.87005153233889
1.05 209.924 2.62784597422274
1.00 197.397 3.70419388468542
0.975 190.949 4.46960314785356
0.95 184.815 5.3835252827547
Structure 18
1.2 251.717 0.87553390551185
1.15 236.514 1.25158016409332
1.10 222.794 1.79045495155759
1.05 209.232 2.63892148645661
1.00 196.705 3.89555306893483
0.975 190.213 4.8259426310057
0.95 184.194 5.93253911680992
Structure 19
1.2 251.062 0.973953809778879
1.15 235.584 1.36636228971798
1.10 222.364 1.88492377330433
1.05 208.691 2.71604175105882
1.00 195.521 3.98935629400083
0.975 189.437 4.81896516041336
0.95 183.431 5.84987713929328
Structure 20
1.2 250.497 0.87121732804398
1.15 234.639 1.28249523759177
1.10 221.869 1.81246981177326
1.05 208.593 2.68451667943388
1.00 194.981 4.16476058060978
0.975 189.280 5.06338983145425
0.95 182.808 6.37525250393757
Structure 21
1.2 249.885 0.88409735617225
1.15 233.948 1.30292650407382
1.10 220.891 1.85519543589057
1.05 208.313 2.6894671099938
1.00 194.381 4.20972012133989
0.975 188.721 5.10872170856817
0.95 182.529 6.36423643080974
Structure 22
1.2 249.097 0.854268642073927
1.15 233.449 1.26337132795014
1.10 220.583 1.80573039861806
1.05 207.372 2.6954296993774
1.00 194.276 4.15229059162359
0.975 187.876 5.19702228558805
0.95 181.747 6.49846061657305
Structure 23
1.2 248.461 0.771347168315905
1.15 233.688 1.14228564351315
1.10 220.384 1.6905622904614
1.05 206.628 2.63534722448847
1.00 193.604 4.16459306285225
0.975 187.318 5.26476976991074
0.95 181.466 6.60341224136149
Structure 24
1.2 247.883 0.778617880171493
1.15 233.318 1.15146819230462
1.10 219.556 1.7352387042396
1.05 205.951 2.70600496187116
1.00 193.026 4.28249709802071
0.975 186.802 5.41418990471778
0.95 181.057 6.77733717024293
Structure 25
1.2 247.297 0.81717564401253
1.15 233.319 1.16868463439853
1.10 219.141 1.74875645543499
1.05 205.477 2.68060425570948
1.00 192.709 4.1398450703145
0.975 186.487 5.1832881647198
0.95 180.549 6.47711230415991
Structure 26
1.2 246.877 0.785835953076115
1.15 232.809 1.14520283212963
1.10 218.705 1.73895576215523
1.05 204.882 2.72421731348858
1.00 192.740 4.1783308548507
0.975 185.899 5.39434073820242
0.95 179.982 6.78770433008513
Structure 27
1.2 246.882 0.713670458850665
1.15 232.370 1.08443996020557
1.10 218.556 1.68341886331864
1.05 204.825 2.71382438322888
1.00 191.896 4.42001709574238
0.975 185.744 5.65140390913137
0.95 179.621 7.28431237334554
Structure 28
